"FECHA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"05 jun 2018";563,17;570,44
"06 jun 2018";562,76;570,25
"07 jun 2018";565,01;570,49
"08 jun 2018";564,36;570,69
"11 jun 2018";564,27;571,16
"12 jun 2018";563,08;570,45
"13 jun 2018";564,36;570,44
"14 jun 2018";565,03;570,37
"15 jun 2018";565,01;570,19
"18 jun 2018";564,57;569,94
"19 jun 2018";564,01;570,76
"20 jun 2018";564,4;570,31
"21 jun 2018";562,85;570,19
"22 jun 2018";563,92;570,67
"25 jun 2018";564,99;570,52
"26 jun 2018";563,76;570,65
"27 jun 2018";564,08;570,59
"28 jun 2018";564,74;570,05
"29 jun 2018";564,17;569,79
"02 jul 2018";563,44;570,08
"03 jul 2018";562,45;571,08
"04 jul 2018";564,02;571,26
"05 jul 2018";563,96;570,53
"06 jul 2018";565,1;570,29
"09 jul 2018";563,68;570,94
"10 jul 2018";564,06;571,54
"11 jul 2018";563,31;570,68
"12 jul 2018";564,21;569,68
"13 jul 2018";564,33;570,04
"16 jul 2018";563,84;569,76
"17 jul 2018";563,91;569,58
"18 jul 2018";564,43;570,3
"19 jul 2018";564,45;570,71
"20 jul 2018";564,07;569,94
"23 jul 2018";564,13;570,39
"24 jul 2018";564,19;570,89
"25 jul 2018";563,91;570,29
"26 jul 2018";563,91;570,29
"27 jul 2018";563,64;569,36
"30 jul 2018";563,74;569,81
"31 jul 2018";563,43;570,07
"01 ago 2018";563,85;570,19
"02 ago 2018";564,83;570,34
"03 ago 2018";564,83;570,34
"06 ago 2018";562,76;570,15
"07 ago 2018";564,31;570,78
"08 ago 2018";563,29;570,65
"09 ago 2018";564,05;570,91
"10 ago 2018";564,41;569,82
"13 ago 2018";564,25;570,19
"14 ago 2018";564,47;570,22
"15 ago 2018";564,57;570
"16 ago 2018";564,57;570
"17 ago 2018";564,08;570,12
"20 ago 2018";564,42;569,78
"21 ago 2018";563,33;571,24
"22 ago 2018";563,9;571,96
"23 ago 2018";565,23;571,24
"24 ago 2018";565,86;572,26
"27 ago 2018";565,27;571,75
"28 ago 2018";565,97;572,65
"29 ago 2018";566,09;573,18
"30 ago 2018";567,07;574,86
"31 ago 2018";569,54;575,67
"03 sep 2018";571,36;578,56
"04 sep 2018";574,01;583,11
"05 sep 2018";576,87;585,15
"06 sep 2018";579,09;585,74
"07 sep 2018";581,28;586,9
"10 sep 2018";579,39;585,62
"11 sep 2018";576,72;584,47
"12 sep 2018";575,77;582,4
"13 sep 2018";574,39;579,76
"14 sep 2018";574,47;579,69
"17 sep 2018";573,61;581,34
"18 sep 2018";573,93;580,65
"19 sep 2018";575,13;580,71
"20 sep 2018";574,33;580,78
"21 sep 2018";575,66;581,43
"24 sep 2018";574,61;581,09
"25 sep 2018";577,27;580,7
"26 sep 2018";575,04;581,54
"27 sep 2018";577,58;582,87
"28 sep 2018";579,45;585,69
"01 oct 2018";579,12;585,8
"02 oct 2018";578,1;586,14
"03 oct 2018";579,03;587,15
"04 oct 2018";580,8;587,57
"05 oct 2018";584,05;588,87
"08 oct 2018";583,2;591,27
"09 oct 2018";585,63;593,22
"10 oct 2018";588,08;594,6
"11 oct 2018";589,47;596,18
"12 oct 2018";591,73;598,14
"15 oct 2018";590,51;597,15
"16 oct 2018";590,51;597,15
"17 oct 2018";590,55;596,89
"18 oct 2018";589,8;596,81
"19 oct 2018";590,33;595,81
"22 oct 2018";589,53;596,54
"23 oct 2018";590,27;597,09
"24 oct 2018";590,19;596,13
"25 oct 2018";592,84;597,76
"26 oct 2018";594,8;599,4
"29 oct 2018";594,51;601,4
"30 oct 2018";596,48;605,59
"31 oct 2018";603,2;610,74
"01 nov 2018";613,01;620,76
"02 nov 2018";611,97;618,89
"05 nov 2018";613,16;622,08
"06 nov 2018";617,23;627,2
"07 nov 2018";622,99;631,3
"08 nov 2018";619,68;628,11
"09 nov 2018";619,85;625,31
"12 nov 2018";616,96;623,71
"13 nov 2018";614,27;621,46
"14 nov 2018";614,26;620,13
"15 nov 2018";610,31;616,21
"16 nov 2018";603,6;610,29
"19 nov 2018";597,26;604,76
"20 nov 2018";595,06;603,04
"21 nov 2018";595,87;604,52
"22 nov 2018";597,6;607,29
"23 nov 2018";602,97;609,75
"26 nov 2018";605;610,79
"27 nov 2018";602,78;610,19
"28 nov 2018";600,06;606,2
"29 nov 2018";597,03;602,69
"30 nov 2018";596,15;603,1
"03 dic 2018";596,91;604,28
"04 dic 2018";597,13;604,45
"05 dic 2018";598,33;603,82
"06 dic 2018";597,29;602,95
"07 dic 2018";597,4;603,22
"10 dic 2018";595,45;601,66
"11 dic 2018";595,3;602,08
"12 dic 2018";594,74;601,6
"13 dic 2018";595,68;600,76
"14 dic 2018";595,18;599,88
"17 dic 2018";593,21;598,69
"18 dic 2018";593,13;599,93
"19 dic 2018";595,01;601,66
"20 dic 2018";598,4;604,05
"21 dic 2018";600,22;605,54
"24 dic 2018";600,16;606,51
"26 dic 2018";600,96;607,64
"27 dic 2018";601,82;608,87
"28 dic 2018";603,69;610,42
"31 dic 2018";604,39;611,75
"02 ene 2019";604,39;611,75
"03 ene 2019";603,01;611,55
"04 ene 2019";604,77;611,68
"07 ene 2019";602,4;611,55
"08 ene 2019";605,39;612,93
"09 ene 2019";604,83;612,21
"10 ene 2019";605,61;612,12
"11 ene 2019";604,86;610,49
"14 ene 2019";602,3;608,8
"15 ene 2019";599,81;606,63
"16 ene 2019";598,84;605,08
"17 ene 2019";596,67;602,97
"18 ene 2019";597,13;603,52
"21 ene 2019";597;604,7
"22 ene 2019";597,49;605,15
"23 ene 2019";598,6;606,56
"24 ene 2019";603,22;608,11
"25 ene 2019";605,03;610,7
"28 ene 2019";606,26;612,6
"29 ene 2019";606,85;613,97
"30 ene 2019";608,99;614,95
"31 ene 2019";607,85;614,17
"01 feb 2019";608,04;614,32
"04 feb 2019";607,4;615,31
"05 feb 2019";606,03;616,4
"06 feb 2019";608,51;616,45
"07 feb 2019";608,11;615,35
"08 feb 2019";610,01;615,12
"11 feb 2019";608,78;614,96
"12 feb 2019";607,96;615,06
"13 feb 2019";608,15;614,08
"14 feb 2019";607,24;612,76
"15 feb 2019";607,17;612,42
"18 feb 2019";604,45;611,36
"19 feb 2019";605,64;611,2
"20 feb 2019";605,76;612,62
"21 feb 2019";606,89;612
"22 feb 2019";605,97;611,69
"25 feb 2019";606,05;611,12
"26 feb 2019";604,97;612,21
"27 feb 2019";605,35;611,66
"28 feb 2019";605,05;610,72
"01 mar 2019";604,08;609,76
"04 mar 2019";602,58;609,32
"05 mar 2019";602,87;608,5
"06 mar 2019";603,97;610,37
"07 mar 2019";605,74;611,11
"08 mar 2019";605,89;611,39
"11 mar 2019";604,45;610,76
"12 mar 2019";602,37;608,21
